2008-2017 CH4  budget per category - ALL studies
proc USA Canada Central_America Northern_South_America Brazil Southwest_South_America Europe Northern_Africa Equatorial_Africa Southern_Africa Russia Central_Asia Middle_East China Korean_Japan South_Asia Southeast_Asia Oceania GLO
                 Wetlands mean   6  11   4   8  22  16   2   6  19   5  12   1   1   3   0   5  24   4 149
                  Wetlands min   3   4   1   4  11  11   1  -1   7   0   4   0  -1   1   0   1   5   0 102
                  Wetlands max  12  23   7  13  32  22   4  12  30  10  22   3   2   4   1   5  40   7 182
             OtherNatural mean -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 222
              OtherNatural min -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 143
              OtherNatural max -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 306
                AgriWaste mean  16   2   7   4  16   8  18  13   9   3   6   3   8  29   3  36  18   8 206
                 AgriWaste min  13   2   6   4  13   7  17   9   7   3   5   3   6  23   3  26  15   5 191
                 AgriWaste max  17   2  10   4  17   9  20  15  12   5   6   4   9  38   3  44  23  19 223
                   Fossil mean  14   2   2   5   1   2   6   7   6   3  18   5  17  26   1   5   7   2 128
                    Fossil min  10   2   1   2   0   1   4   6   4   2  11   4  16  17   0   4   6   2 113
                    Fossil max  16   3   2  14   2   3   7   9   7   5  21   7  19  40   1   6   8   2 154
               BioBurBiof mean   1   1   1   0   2   1   1   2   5   3   2   0   0   3   0   3   4   1  30
                BioBurBiof min   0   0   0   0   1   1   1   1   4   1   0   0   0   1   0   3   2   0  26
                BioBurBiof max   2   1   1   1   5   1   2   4   5   7   3   1   1   5   0   3   5   2  40
                SumSources mean  36  16  13  18  41  27  27  27  39  14  37   9  26  66   4  50  54  11 737
                SumSources min  28   8   9  10  28  20  23  17  24   7  21   7  21  46   3  36  28   6 594
                SumSources max  47  29  19  32  52  35  32  36  51  24  53  13  30  76   5  52  73  15 881
