2008-2017 CH4  budget per category - ALL studies
proc USA Canada Central_America Northern_South_America Brazil Southwest_South_America Europe Northern_Africa Equatorial_Africa Southern_Africa Russia Central_Asia Middle_East China Korean_Japan South_Asia Southeast_Asia Oceania GLO
                 Wetlands mean   6  11   4   8  22  16   2   6  19   5  12   1   1   3   0   5  24   4 149
                  Wetlands min   3   4   1   4  11  11   1  -1   7   0   4   0  -1   1   0   1   5   0 102
                  Wetlands max  12  23   7  13  32  22   4  12  30  10  22   3   2   4   1   5  40   7 182
             OtherNatural mean -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 222
              OtherNatural min -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 143
              OtherNatural max -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 306
                AgriWaste mean  16   2   7   4  16   8  18  13   9   3   6   3   8  29   3  36  18   8 206
                 AgriWaste min  13   2   6   4  13   7  17   9   7   3   5   3   6  23   3  26  15   5 191
                 AgriWaste max  17   2  10   4  17   9  20  15  12   5   6   4   9  38   3  44  23  19 223
                   Fossil mean  14   2   2   5   1   2   5   7   6   3  18   5  17  26   1   5   7   2 126
                    Fossil min  10   2   1   2   0   1   4   5   4   2  11   4  16  17   0   3   6   1 113
                    Fossil max  16   3   2  14   2   3   7   9   7   5  21   7  19  40   1   6   8   2 154
               BioBurBiof mean   1   1   1   0   2   1   1   2   5   3   2   0   0   3   0   3   4   1  30
                BioBurBiof min   0   0   0   0   1   1   1   1   4   1   0   0   0   1   0   3   2   0  26
                BioBurBiof max   2   1   1   1   5   1   2   4   5   7   3   1   1   5   0   3   5   2  40
                SumSources mean  36  16  13  18  41  27  28  27  41  15  37   9  26  69   4  53  55  11 750
                SumSources min  29   9   9  10  28  21  24  18  26   8  21   8  22  48   3  38  29   6 605
                SumSources max  48  29  20  32  53  35  32  36  54  24  54  12  30  80   5  55  74  15 893
