2003-2012 CH4  budget per category - ALL studies
proc Bor_NAme contUSA Cent_NAme Trop_SAme Temp_SAme NAfr SAfr Russia Oceania Europe China India SE_Asia Temp_Eurasia_Japan GLO
                 Wetlands mean  13   9   2  44   8  12  20  13   3   2   5   6  27   3 167
                  Wetlands min   7   6   1  30   4   8  11  10   1   1   3   0   8   1 127
                  Wetlands max  21  13   3  61  10  14  29  16   2   4   7  10  41   5 202
             OtherNatural mean   2   3   1   9   2   6   6   2   3   3   6   4   9   4  64
              OtherNatural min   0   1   0   5   1   3   4   1   1   0   1   1   2   1  21
              OtherNatural max   4   9   2  22   2  11  11   4   3   2  16  12  26  13 132
                AgriWaste mean   3  18   5  21   6  12   7   5   4  15  27  25  24  19 188
                 AgriWaste min   2  16   2  19   5  11   7   3   3   9  16  14  12   9 115
                 AgriWaste max   4  23   8  27   8  15   9   7   5  19  37  43  32  24 243
                   Fossil mean   2  12   2   4   1   7   4  17   1   7  18   3   8  20 105
                    Fossil min   1   7   0   1   0   3   2  11   0   5   9   1   5  14  77
                    Fossil max   4  18   3   8   1   8   5  24   2   9  30   4  14  27 133
               BioBurBiof mean   1   0   1   7   0   5   6   1   1   1   3   2   6   1  34
                BioBurBiof min   0   0   0   3   0   2   4   1   0   0   0   0   3   0  15
                BioBurBiof max   1   1   1  15   1   6   9   2   1   1   4   3   8   1  53
                SumSources mean  20  41  11  84  17  42  44  38  11  28  58  39  74  46 558
                SumSources min  13  34   5  65  12  36  38  31   7  21  51  28  55  38 540
                SumSources max  27  49  15 101  27  55  53  45  19  34  72  46  84  54 568
