2008-2017 CH4  budget per category - ALL studies
proc USA Canada Central_America Northern_South_America Brazil Southwest_South_America Europe Northern_Africa Equatorial_Africa Southern_Africa Russia Central_Asia Middle_East China Korean_Japan South_Asia Southeast_Asia Oceania GLO
                 Wetlands mean  14  13   3  10  34  14   3   7  20   6  12   0   1   5   1  12  22   2 181
                  Wetlands min   8   6   2   6  26   8   2   4  15   2   9   0   0   2   0   6  15   1 159
                  Wetlands max  25  20   3  14  44  21   8  11  27   9  16   0   1   9   2  18  33   4 200
             OtherNatural mean   2   1   1   1   3   1   2   2   3   2   2   1   3   1   0   1   3   2  37
              OtherNatural min   1   0   1   1   1   1   1   1   1   0   1   0   1   1   0   1   1   1  21
              OtherNatural max   3   2   1   2   5   2   3   4   7   3   3   1   6   1   0   2   4   3  50
                AgriWaste mean  19   3   7   4  19   8  18  10  10   4   5   4   7  26   2  36  21   5 217
                 AgriWaste min  10   2   5   3  11   6  13  10   6   4   4   3   5  23   2  24  20   3 207
                 AgriWaste max  26   4   7   6  26  12  26  14  12   6   7   5  10  35   3  51  27   7 240
                   Fossil mean  12   2   2   3   2   2   7   5   6   3  13   5  13  18   1   4   8   2 111
                    Fossil min   9   1   1   2   1   1   3   3   2   2   4   3   3  10   0   2   5   1  81
                    Fossil max  18   4   3   5   2   3  10   9  11   5  25   9  20  36   1   5   9   2 131
               BioBurBiof mean   1   1   1   0   2   1   1   2   5   3   2   0   0   4   0   2   5   1  30
                BioBurBiof min   0   1   0   0   1   1   1   1   4   2   2   0   0   0   0   2   4   0  22
                BioBurBiof max   1   1   1   0   3   1   1   2   6   3   3   0   0   5   0   3   7   1  36
                SumSources mean  47  20  13  20  60  26  31  26  44  18  34  10  23  55   4  56  59  12 576
                SumSources min  34  13   9  14  38  14  19   9  31  12  17   7  15  43   3  26  46   8 550
                SumSources max  62  30  28  27  78  35  41  34  60  24  47  15  31  70   5  73  67  24 594
