2008-2017 CH4  budget per category - ALL studies
proc USA Canada Central_America Northern_South_America Brazil Southwest_South_America Europe Northern_Africa Equatorial_Africa Southern_Africa Russia Central_Asia Middle_East China Korean_Japan South_Asia Southeast_Asia Oceania GLO
                 Wetlands mean  14  14   2  10  34  14   3   7  20   6  12   0   1   5   0  13  22   2 180
                  Wetlands min   8   9   1   6  26   9   1   4  12   2   8   0   0   2   0   6  11   1 155
                  Wetlands max  24  21   3  14  44  21   5  11  27   9  16   0   1   9   1  18  33   3 200
             OtherNatural mean   2   1   1   1   3   1   2   3   3   2   2   1   3   1   0   1   3   2  38
              OtherNatural min   1   0   1   1   1   1   1   1   1   1   1   0   1   1   0   1   1   1  21
              OtherNatural max   3   2   1   2   5   2   3   4   7   3   3   1   6   1   0   1   4   3  50
                AgriWaste mean  19   3   6   5  20   9  19  11  10   5   5   3   7  28   3  38  22   5 221
                 AgriWaste min  14   2   5   4  11   6  13  10   6   4   4   3   5  23   2  24  20   3 207
                 AgriWaste max  26   4   7   6  26  12  26  14  12   6   7   4  10  35   3  51  27   5 240
                   Fossil mean  11   2   2   3   2   2   7   5   6   3  13   5  13  17   1   4   7   2 107
                    Fossil min   9   1   1   2   1   1   3   3   2   2   4   4   3  10   0   2   5   1  81
                    Fossil max  18   4   3   5   2   2  10   8  11   4  25   9  19  28   1   5   9   2 131
               BioBurBiof mean   1   1   1   0   2   1   1   2   5   3   2   0   0   4   0   3   5   1  31
                BioBurBiof min   0   1   0   0   1   1   1   1   4   2   2   0   0   1   0   2   4   0  27
                BioBurBiof max   1   1   1   0   3   1   1   2   6   3   3   0   0   5   0   3   7   1  36
                SumSources mean  47  20  12  20  61  27  32  27  44  18  34  10  24  54   4  58  60  11 576
                SumSources min  34  16   9  14  46  19  25   9  33  12  17   7  15  43   3  42  47   8 540
                SumSources max  62  30  16  27  78  35  41  34  60  24  47  15  31  68   5  73  67  15 594
